input_text,target_text,task,split
el cuando me acabo de baar siempre me pongo desodorante,SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE,spa-mslg,train
MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR,mi papá llena el formato para tramitar su licencia de manejo,mslg-spa,train
mi familia siempre donan a teletón,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,spa-mslg,train
tu sobrino está atrás de mi esposo,TUYO SOBRINO ATRÁS MI ESPOSO,spa-mslg,test
JUAN ASUNTO APARTE,con juan es un asunto aparte,mslg-spa,train
nuestra cita es en taxqueña,NUESTRA CITA LUGAR TAXQUEÑA,spa-mslg,train
el ao pasado acabé la universidad,AÑO-PASADO UNIVERSIDAD YO TERMINAR,spa-mslg,test
convencimos a mi amigo de ir a la fiesta,YO YA CONVENCER MI AMIGO IR FIESTA,spa-mslg,train
SIEMPRE MI FAMILIA DONAR TELETÓN DONAR,mi familia siempre dona a teletón,mslg-spa,train
PULPO YO YA COMER DELICOSO,yo comí pulpo es delicioso,mslg-spa,train
CAMPESINO MAÍZ SEMBRAR,el campesino siembra maíz,mslg-spa,train
yo compré una coca cola ayer,AYER COCA-COLA YO COMPRAR,spa-mslg,train
ALMOHADA CMODA ALMOHAD PARA DORMIR,la almohada es muy cómoda para dormir,mslg-spa,train
CANTAR+MUJER MADONNA ELLOS ADMIRAR ELLA,ellos admiran a la cantante madonna,mslg-spa,train
PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,las próximas vacaciones iré de viaje a ciudad obregón,mslg-spa,train
MI PAPÁ CINTURÓN ÉL YO REGALAR,le regalé un cinturón a mi papá,mslg-spa,train
MI HERMANO BICICLETA ÉL CAER,mi hermano se cayó de la bicicleta,mslg-spa,train
"APENAS, YO VER TI",apenas te vi (hace poco),mslg-spa,train
nosotros viajaremos el próximo año al lago de pátzcuaro,PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR,spa-mslg,test
AYER MI ENTREGAR-ENGANCHE YO AUTOMÓVIL,ayer mi entregué el enganche y a auto,mslg-spa,test
mañana sólo cantaré una cancion en la fiesta,UNA-VEZ MAÑANA FIESTA CANTAR,spa-mslg,train
ESTE JUGUETE BARATO,el juguete está barato,mslg-spa,train
en la madrugada esuché una explosión,MADRUGADA EXPLOSIÓN YO ESCUCHAR,spa-mslg,train
AYER YA PASEAR SENTIR BIEN,ayer fui a pasear y me senti muy bien,mslg-spa,train
LUGAR FABRICA HAY PARA SABRITAS PERSONAS TRABAJO,en la fábrica de sabritas buscan personal para trabajar,mslg-spa,train
PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR,mi hermana se casa el próximo domingo,mslg-spa,train
MI JEFE ÉL PAGAR MÍ SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
el payaso usa mucho maquillaje,PAYASO MUCHO MAQUILLAJE,spa-mslg,train
SIEMPRE NIÑO SUEÑO,el nio siempre tiene sueo,mslg-spa,train
ESE SUAVE PARECE ALGODÓN,eso es muy suave parece algodón,mslg-spa,test
YO YA VISITAR MURAL DIEGO-RIVERA,visité el mural de diego rivera,mslg-spa,test
el sapo se convirtiera en prncipe,SAPO YA CONVERTIR PERSONA PRÍNCIPE,spa-mslg,train
PABLO FLOJO,pablo es flojo,mslg-spa,train
mi hermano menor es dentista,HERMANO ÚLTIMO DOCTOR-DIENTES,spa-mslg,train
vamos al parque de azcapotzalco,PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR,spa-mslg,train
MI JEFE ÉL PAGAR MÍ SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
ayer no me dijiste adiós,AYER ADIÓS TÚ DECIR NADA,spa-mslg,train
TODO PRODUCTO CÓDIGO-DE-BARRAS ETIQUETA HABER,todos los productos se etiquetan con un código de barras,mslg-spa,train
saquen su libro de matemáticas,SU LIBRO MATEMÁTICAS USTEDES SACAR,spa-mslg,val
SIEMANA PASADA PLAZA UNIVERSIDAD IR YO,la semana pasada fui a plaza universidad,mslg-spa,train
me gustan las fresas con crema,FRESAS CON CREMA YO GUSTAR,spa-mslg,train
QUIÉN PRESIDENTE MÉXICO? CARLOS-SALINAS-DE-GORTARI,¿ quién fue el presidente de méxico ? carlos salinas de gortari,mslg-spa,test
me encanta comer cacahuates con limón y sal,CACAHUATES CON LIMÓN SAL YO ENCANTA COMER,spa-mslg,train
el jueguete está barato,ESTE JUGUETE BARATO,spa-mslg,train
BIBLIA DENTRO ADÁN NOMBRE HABER,en la biblia está el nombre de adán,mslg-spa,test
MAÑANA BARCO YA LLEGAR,el barco llegó en la mañana,mslg-spa,train
edgar será maestro,EDGAR FUTURO MAESTRO,spa-mslg,train
el congreso aprobó la nueva ley,CONGRESO NUEVA LEY APROBAR YA,spa-mslg,test
entrega el trámite en la ventanilla de gobierno deben poner un sello,VENTANA FILA GOBIERNO TRÁMITE ENTREGAR PAPEL DEBER PONER-SELLO,spa-mslg,train
ÚNICO MUJER TENER SU CLITORIS,sólo las mujeres tienen clítoris,mslg-spa,val
SPANISH TO MSLG: PERRO DEBAJO MESA,el perro estará debajo de la mesa,mslg-spa,train
lleva los costales en la carretilla,CARRETILLA-DE-CARGA COSTALES LLEVAR,spa-mslg,train
las próximas vacaciones seguiré de viaje a ciudad obregón,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,spa-mslg,train
¿ cuál es el número de tu grupo ?,¿TÚ GRUPO NÚMERO CUÁL?,spa-mslg,train
mi compañero de trabajo insiste en hacer una fiesta,MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA,spa-mslg,train
SXTO-PRIMARIA MI HIJO YA REPROBAR,mi hijo reprobó el sexto de primaria,mslg-spa,train
TÚ NO PREOCUPAR DEJARLO-ASÍ,no te preocupes déjalo así,mslg-spa,train
el bebéa de cesar es tremendamente precioso,CÉSAR SU BEBÉ BONITO,spa-mslg,train
ANIMAL DIFERENTES DIFERENTES BONITO VERDAD,los animales son muy bonitos en verdad,mslg-spa,train
SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA,la semana pasada pedí un aventón a la caseta,mslg-spa,val
YO YA MI FIESTA AMIGO IR CONVENCER,convencí a mi amigo de ir a la fiesta,mslg-spa,train
SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER,el hijo de mi vecino siempre es muy desobediente,mslg-spa,train
YO YA SABER LEER INGLÉS IDIOMA,yo sé leer en idioma inglés,mslg-spa,train
MAESTRA MATEMÁTICAS MUCHAS BROMAS,la maestra de matemáticas dice muchas bromas,mslg-spa,train
yo perd el suéter blanco,SUÉTER BLANCO YO PERDER,spa-mslg,train
TAIWÁN ISLA,taiwán es una isla,mslg-spa,train
quiero comprar una rasuradora,RASURADORA YO QUERER COMPRAR,spa-mslg,train
NADA YO NO-QUERER NADA,no quiero nada,mslg-spa,test
AYER SUÉTER YO COMPRAR,ayer compré un suéter,mslg-spa,train
YO CREER ESPÍRITU SANTO,yo creo en el espíritu santo,mslg-spa,train
a mí no me gustan las arañas,YO NO GUSTAR ARAÑA,spa-mslg,train
mi vecino va diario a alcohólicos anónimos,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,spa-mslg,train
edgar será maestro,SPANISH TO MSLG: EDGAR MAESTRO,spa-mslg,train
no me abofetees,NO ABOFETEAR MI,spa-mslg,train
IRÁN BANDERA BLANCO COLOR ROJO VERDE,los colores de la bandera de irán son verde blanco y rojo,mslg-spa,train
usa maleta de ruedas mejor no lastima el cuerpo,MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER,spa-mslg,train
ANTIER PALACIO-DE-LOS-DEPORTES MAGNETO CANTAR AUDITORIO YO IR,antier fui a un concierto de magneto en el palacio de los deportes,mslg-spa,test
yo tuve suerte lo quise lograr,YO SUERTE LOGRAR YO PODER,spa-mslg,train
ALICIA YA SUDÁFRICA VIAJAR,en la alicina en el sudáfrica es muy viajó,mslg-spa,train
todas las enfermeros del hospital son muy serviciales,HOSPITALACÁ TODA ENFERMERA AMABLE,spa-mslg,test
SAPO YA CONVERTIR PERSONA PRÍNCIPE,el sapo se convirtió en prncipe,mslg-spa,train
"AYER JOSEFINA, ALBERTO AMBOS DADOS JUGAR",josefina y alberto jugaron dados ayer,mslg-spa,train
NIÑO NIÑO TENER PIOJO,los niños tienen piojos,mslg-spa,train
NOSOTROS TENER MUCHA ACTIVIDAD DIFERENTE ESCUELA,nosotros tenemos muchas actividades en la escuela,mslg-spa,train
MADRUGADA EXPLOSIÓN YO ESCUCHAR,en la madrugada escuché una explosión,mslg-spa,train
LUGAR TOKIO SU ASIA,tokio se ubica en asia,mslg-spa,train
mi jefe me pagó la mitad del sueldo,MI JEFE ÉL PAGAR MÍ SUELDO MITAD,spa-mslg,train
MI SOBRINO ALTO,mi sobrino es muy alto,mslg-spa,train
YO M PRIMO PERLEAR CONMIGO,mi primo se peleó conmigo ayer,mslg-spa,train
SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN,tu esposo siempre me da el avión en todo,mslg-spa,train
AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,en diciembre del año pasado mi jefe viajó a bogotá,mslg-spa,train
SIEMPRE ÉL DISTRAÍDO,él siempre está muy distraído,mslg-spa,train
MAÑANA MI TÍO MUDARSE CASA,mi tío se mudará de casa mañana,mslg-spa,train
POLICÍA AGENTE NOSOTROS PROTEGER MÍ,la policia judicial nos protege,mslg-spa,train
SUÉTER BLANCO YO PERDER,yo perd el suéter blanco,mslg-spa,train
mi viaje a francia me emocionó,YO VIAJE FRANCIA YO EMOCIONAR YA,spa-mslg,train
SEMANA PASADA CASETA PEDIR LUGAR AVENTÓN YO,la semana pasada ped un aventón,mslg-spa,val
el amigo de juana es árabe,JUANA SU AMIGO RABE,spa-mslg,train
DIARIO MI HERMANO AGENDA REVISAR,mi hermano revisa su agenda diario,mslg-spa,train
el año pasado terminé la universidad,AÑO-PASADO UNIVERSIDAD YO TERMINAR,spa-mslg,train
YO M NO-GUSTAR AMETRALLADORA YO NO-GRUSTAR,a mí no me disgustan esas ametralladoras,mslg-spa,train
los zapatos del payaso son amarillos,PAYASO ZAPATO SUYO COLOR AMARILLO,spa-mslg,train
MESA NUEVA YO QUERER,quiero una mesa nueva,mslg-spa,val
estudiamos para el examen,NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR,spa-mslg,train
aumentó el sueldo en un 12%,12% SUELDO YA AUMENTAR,spa-mslg,test
hay una tortuga en la playa,PLAYA TORTUGA HABER,spa-mslg,train
PEZ COLOR AZUL MI FAVORITO,los peces azules son mis favoritos,mslg-spa,train
le regalé un cinturón a mi papá,MI PAPÁ CINTURÓN YO REGALAR ÉL,spa-mslg,train
MAÑANA TRABAJO JUAN YO NOSOTROS-DE-DOS ACOMPAÑAR,mañana juan y yo nos acompañaremos al trabajo,mslg-spa,train
ellos rebanaron la pizza en ocho partes,PIZZA OCHO ELLOS REBANAR,spa-mslg,train
remar es un ejercicio que ayuda a la salud,EJERCER-REMAR AYUDA CUERPO SANO,spa-mslg,train
MI HERMANO+MUJER SNORKELING ELLA PRACTICAR,mi hermana practica snorkeling,mslg-spa,train
EDGAR MAESTRO,edgar es maestro,mslg-spa,test
no te he visto desde la última navidad,NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO,spa-mslg,val
SPANISH TO MSLG: ESE YO VESTIDO FEO NO-GUSTAR,ese vestido es feo no me gusta,mslg-spa,train
AYER YO PERDER LIGA MI,ayer perdí mi liga,mslg-spa,train
FÁCIL APRENDER LETRA ABECEDARIO,el fácil aprender las letras del abecedario,mslg-spa,train
yo retomé a mi hijo,MI HIJO YO ABANDONAR,spa-mslg,train
ALBERCA YO NADAR,yo nado en la alberca,mslg-spa,train
SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE,el cuando me acabo de baar siempre me pongo desodorante,mslg-spa,train
PRXIMO CONFERENCIA LUGAR MONTERREY,la próxima conferencia será en monterrey,mslg-spa,train
LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA,nosotros aprendemos gramática en la escuela,mslg-spa,val
AY! SORPRESA AQU YO VER TI,¡ay qué sorpresa verte aquí,mslg-spa,test
NUESTRA CITA LUGAR TAXQUEÑA,nuestra cita es en taxqueña,mslg-spa,train
GOBIERNO CUIDAR PERSONA,el gobierno cuida a los ciudadanos,mslg-spa,train
nosotros abrimos el horno para meter los pasteles,NOSOTROS ABRIR-HORNO PARA PASTEL,spa-mslg,train
MUJER TENER VÁGINA,las mujeres tienen vágina,mslg-spa,train
deberás mostrar tu ine para poder pasar,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,spa-mslg,val
CITA DOCTOR ESCRIBIR ANOTAR-AGENDA,el doctor anota la cita en la agenda,mslg-spa,train
esa máquina falla mucho se necesita que la compongan,ESA MÁQUINA FALLA COMPONER NECESITA,spa-mslg,train
YO NECESITAR PARA PAPEL AGUA ABSORBER,yo necesito pápel para absorber el agua,mslg-spa,train
MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE,miguel quiere declarse a su amiga pero no se atreve,mslg-spa,train
guerrero es un estado bonito,GUERRERO ESTADO BONITO,spa-mslg,train
ESTE JUGUETE BARATO,el juguete está barato,mslg-spa,train
YO GUSTAR GALLETA DIFERENTE GAMESA,me gustan las galletas gamesa,mslg-spa,train
ESA ANTENA CARA VERDAD,esa antena es muy cara,mslg-spa,train
MAÑANA MI TÍO MUDARSE CASA,mi tío se mudará de casa mañana,mslg-spa,train
la india es el séptimo país más grande del país,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,spa-mslg,train
el papá de david es bombero,DAVID SU PAPÁ BOMBERO,spa-mslg,train
¡BUENA NOCHE TÚ DESCANSAR!,¡buenas noches que descanses,mslg-spa,train
COMPETENCIA ATLETISMO MI AMIGO+MUJER YA INSCRIBIRSE,mi amiga se inscribió en una competencia de atletismo,mslg-spa,train
SIEMPRE TODO ESPOSO DAR-EL-AVIÓN TU,tu esposo siempre me da el avión en todo,mslg-spa,train
ya suspendieron mi número de teléfono,MI NÚMERO TELÉFONO SUSPENDER YA,spa-mslg,train
SUÉTER BLANCO YO PERDER,yo perd el suéter blanco,mslg-spa,train
YO YA ENTREGAR ENGANCHE MI AUTO,ayer entregué el enganche de mi auto,mslg-spa,train
YO MAM SABROSO POLLO CALDO OLLA-EXPRÉS COCINA,mi mamá cocina en la olla express caldo de pollo sabroso,mslg-spa,train
UNIVERSIDAD GALLAUDET FAMOSA,la universidad gallaudet es muy famosa,mslg-spa,train
MI HERMANO ACTIVO,mi hermano es activo,mslg-spa,train
TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR,mi amiga y su novio van los sábados al casino,mslg-spa,test
BERLÍN CAPITAL SU ALEMANIA,berlín es la capital de alemania,mslg-spa,train
ALMOHADA MUCHO COMODA PARA DORMIR,la almohada es muuuuuuy comoda para dormir,mslg-spa,train
CAJÓN HOJAS BLANCAS HAY,hay hojas blancas en el cajón,mslg-spa,val
es hora de mecer al niñito dios,AHORITA NIÑO DIOS YA MECER,spa-mslg,test
la semana pasadaen fui a plaza universidad,SIEMANA PASADA YO IR PLAZA UNIVERSIDAD,spa-mslg,train
me regalaron un juguete a mi ahijado,SPANISH TO MSLG: LE JUGUETE MI AHIJADO REGALAR ÉL,spa-mslg,train
yo quiero aprender muchas cosas,YO QUERER APRENDER MUCHO COSA,spa-mslg,train
él está muy grave,ÉL GRAVE,spa-mslg,train
en el mercado venden muchas escobas baratas,MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER,spa-mslg,train
mi amigo rodolfo es muy dadivoso,MI AMIGO RODOLFO DADIVOSO,spa-mslg,train
YO MAM COCINA OLLA-EXPRÉS POLLO CALDO SABROSO,mi mamá cocina en la olla express caldo de pollo sabroso,mslg-spa,train
HOMBRE EGIPCIO NO RESPONDER,el egipcio no respondió,mslg-spa,train
BARRERAS COMUNICACIÓN QUITAR PODER,las barreras de comunicación pueden eliminarse,mslg-spa,train
¿ ya cenaste ?,¿TÚ YA CENAR?,spa-mslg,train
ELLA CARA BONITA,ella tiene una cara bonita,mslg-spa,train
ALGUNAS PERSONAS ANALFABETO,algunas personas son analfabetas,mslg-spa,train
HOY CUMPLEAÑOS MÍ,hoy es mi cumpleaños,mslg-spa,test
ESE CARRO LUJOSO NUEVO,ese carro nuevo es muy lujoso,mslg-spa,val
YO TENER TRABAJO YA CONTENTO YO,ya tengo trabajo estoy contento,mslg-spa,train
YO NECESITAR PAPEL AGUA ABSORBER,yo necesito pápel para absorber el agua,mslg-spa,train
yo limpié la azotea de la hogar,CASA AZOTEAARRIBA YO LIMPIAR YA,spa-mslg,test
DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,diario manejo mi auto debo ponerle gasolina,mslg-spa,train
"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD",la semana pasada fui a plaza universidad,mslg-spa,train
mi papá cocina en la olla express caldo de pollo sabroso,YO MAM COCINA OLLA-EXPRÉS POLLO CALDO SABROSO,spa-mslg,train
la comida tiene mucha grasa,COMIDA TENER MUCHO GRASA,spa-mslg,train
¿TÚ GRUPO NÚMERO CUÁL?,¿ cuál es el número de tu grupo ?,mslg-spa,train
la semana pasada compré cinta canela,SEMANA PASADA CINTA CENTRO YO CANELA COMPRAR,spa-mslg,train
SIEMPRE CUANDO PONER-DESODORANTE ACABAR BAÑAR YO,el cuando me acabo de baar siempre me pongo desodorante,mslg-spa,train
HOY MÍ TENER YA SALDO CELULAR YO,hoy mi celular ya tiene saldo,mslg-spa,train
me gusta coleccionar carros de juguete,JUGUETE CARRO YO GUSTAR COLECCIONAR,spa-mslg,train
tengo que acostumbrarse a despertarme a correr tarde,TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE,spa-mslg,train
EJERCER-REMAR AYUDA CUERPO SANO,remar es un ejercicio que ayuda a la salud,mslg-spa,train
SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,mi familia siempre dona a teletón,mslg-spa,train
JUANA LSM ELLA SABER,juana sabe lsm,mslg-spa,val
TÚ YA DEBER RESPONSABLE TÚ YA ADULTO,tú ya debes ser responsable ya eres un adulto,mslg-spa,test
el legislador propuso una nueva ley de lsm,LEGISLADOR YA PROPONER NUEVA LEY LSM,spa-mslg,train
mi perro es sumiso no molesta,MI PERRO SUMISO MOLESTAR,spa-mslg,train
AÑO-PASADO UNIVERSIDAD YO TERMINAR,el ao pasado terminé la universidad,mslg-spa,test
POLICÍA AMBULANCIA PASO ÉL CEDER,el policía cedió el paso a la ambulancia,mslg-spa,train
mi tía cocina delicioso,MI TÍO+MUJER DELICIOSO COCINAR,spa-mslg,train
esa máquina falla mucho se necesita que la compongan,ESA MÁQUINA FALLA COMPONER NECESITA,spa-mslg,train
el trombón tiene un sonido tan grave,TROMBÓN SONIDO GRAVE TENER,spa-mslg,train
SEXTO-PRIMARIA MI HIJO YA REPROBAR,mi hijo reprobó el sexto de primaria,mslg-spa,train
"AUDÍFONOS TÚ TENER, NO SÍ ¿PRESTAR?",tú tienes unos audífonos ¿ me los prestas ?,mslg-spa,train
AÑO-PASADO UNIVERSIDAD YO TERMINAR,el ao pasado terminé la universidad,mslg-spa,test
MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,mi hermano terminó con su novia,mslg-spa,train
ayer compré un suéter,AYER SUÉTER YO COMPRAR,spa-mslg,train
hay muchos policías en la manifestación,MUCHOS POLICÍA HABER MANIFESTACIÓN,spa-mslg,train
PELÍCULAS CON SUBTÍTULOS NOVIO MI VER NOSOTROS-DE-DOS,mi novio y yo vemos películas con subtítulos,mslg-spa,train
SEÑORA MARÍA TENER COCINA,la señora maría tiene una cocina,mslg-spa,train
yo sé leer en idioma inglés,YO YA SABER LEER INGLÉS IDIOMA,spa-mslg,train
en diciembre del año pasado mi jefe viajó a bogotá,AO-PASADO DICIEMBRE BOGOT M JEFE VIAJAR,spa-mslg,train
PEZ COLOR AZUL FAVORITO MI,los peces azules son mis favoritos,mslg-spa,train
CHINA HABER MUCHAS PERSONAS,en china hay sobrepoblación,mslg-spa,train
SEMANA PASADA MÍ PAPÁ PASTO CORTAR HOZ,la semana pasada mi papá cortó la hierba con la hoz,mslg-spa,test
mi familia siempre dona a teletón,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,spa-mslg,train
YO CREER ESPÍRITU SANTO,yo creo en el espíritu santo,mslg-spa,train
el cumpleaños de mi tía es en abril y le haremos fiesta,ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA,spa-mslg,val
mi famila siempre dona a teletón,SIEMPRE MI FAMILIA TELETN DONAR DONAR,spa-mslg,val
MI HIJO YO ABANDONAR,yo abandoné a mi hijo,mslg-spa,train
SUBURBANO VIAJAR VELOCIDAD,en suburbano se viaja más rápido,mslg-spa,val
SÍ YO GUSTAR JUGAR BOLICHE,a mí sí me gusta jugar boliche,mslg-spa,train
FÁCIL APRENDER LETRA ABECEDARIO,el fácil aprender las letras del abecedario,mslg-spa,train
CANCÚN HABER CRUCERO,en cancún hay un crucero,mslg-spa,train
MI HIJO+MUJER ELLA GUSTAR PATO MUCHO,a mi hija le gustan los patos,mslg-spa,train
TABLE-DANCE MUJER BIEN MESA BAILA,en el table dance esas mujeres bailan sobre la mesa,mslg-spa,train
SUÉTER BLANCO YO PERDER,yo perd el suéter blanco,mslg-spa,train
sergio entrenan los sábados en cepamex,TODO-SÁBADO TODO-SÁBADO CEPAMEX RAÚL ENTRENAR,spa-mslg,train
SPANISH TO MSLG: T Y A DEBER RESPONSABLE T YA ADULTO,tú ya debes ser responsable ya eres un adulto,mslg-spa,train
¿QUÉ-PASO?,¿ qué te pasó ?,mslg-spa,train
a mi hija le gustan los patos,MI HIJO+MUJER ELLA GUSTAR PATO MUCHO,spa-mslg,train
PERRO DEBAJO MESA,el perro está debajo de la mesa,mslg-spa,train
"AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",tú tienes unos audífonos ¿ me los prestas ?,mslg-spa,train
ESE HOMBRE JOVEN BUEN CORREDOR,ese muchacho es muy buen corredor,mslg-spa,train
ESTE JUGUETE BARATO,este juguete está barato,mslg-spa,train
VECINO ÉL PEDIR MI CARRO MOVER,el vecino me pidió mover mi carro,mslg-spa,train
SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,me pasé un semáforo ahora tengo que pagar una multa,mslg-spa,train
SARA MUCHA ENCONTRAR MAR ADENTRO ALMEJA ELLA,sara encontró muchas almejas en el mar,mslg-spa,train
MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR,debes esforzarte mucho para alcanzar tu meta,mslg-spa,train
POLICÍA PERSEGUIR JOVEN,el policía persigue a un joven,mslg-spa,test
YO M PRIMO PERLEAR CONMIGO,mi primo se peleó conmigo ayer,mslg-spa,val
MI NÚMERO TELÉFONO SUSPENDER YA,ya suspendieron mi número de teléfono,mslg-spa,train
estoy feliz mi hijo ya posee licencia de conducir,YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER,spa-mslg,train
POLICÍA AMBULANCIA PASO ÉL CEDER,el policía cedió el paso a la ambulancia,mslg-spa,train
ESE HOMBRE LOCO PARECER,ese hombre parece loco,mslg-spa,val
el egipcio no respondió,HOMBRE EGIPCIO NO RESPONDER,spa-mslg,train
mañana juan y yo nos acompañaremos al trabajo,MAÑANA TRABAJO JUAN YO NOSOTROS-DE-DOS ACOMPAÑAR,spa-mslg,train
tengo otro libro,OTRO LIBRO YO TENER,spa-mslg,train
PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO,quiero ir a estudiar el próximo año la universidad en san diego,mslg-spa,train
hoy conocí al nuevo sacerdote,HOY NUEVO SACERDOTE YO YA CONOCER ÉL,spa-mslg,train
DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE,no hay nadie en mi casa los domingos,mslg-spa,test
AY! SORPRESA AQU YO VER TI,¡ay qué sorpresa verte aquí,mslg-spa,train
¡CAFÉ CALIENTE!,¡el café está muy caliente,mslg-spa,train
PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR,nosotros viajaremos el próximo año al lago de pátzcuaro,mslg-spa,test
"TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR",tú estás embarazada después vas a amamantar,mslg-spa,train
CAJA PEQUEÑA SU ROJO COLOR,la caja pequeña es de color rojo,mslg-spa,train
JUANA SU AMIGO ÁRABE,el amigo de juana es árabe,mslg-spa,train
MI JEFE ÉL PAGAR MÍ SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
DICIEMBRE MUCHAS PERSONAS ESQUIAR IR,en diciembre muchas personas van a esquiar,mslg-spa,train
HACE-TIEMPO ENRIQUE-PEÑA-NIETO GOBERNADOR ESTADO-DE-MÉXICO,enrique peña nieto fue gobernador del estado de méxico,mslg-spa,train
AO-PASADO DICIEMBRE BOGOT M JEFE VIAJAR,en diciembre del año pasado mi jefe viajó a bogotá,mslg-spa,train
COLADERA TÚ A-SALVO CAER,estuviste a salvo de caer en la coladera,mslg-spa,val
la hija de mi vecina tiene autismo,MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO,spa-mslg,train
YO TENER TRABAJO YA CONTENTO YO,ya tengo trabajo estoy contento,mslg-spa,train
fui a cancún de ida y vuelta,ANTES CANCÚN IDA-Y-VENIR,spa-mslg,train
ANTIER PALACIO-DE-LOS-DEPORTES MAGNETO CANTAR AUDITORIO YO IR,antier fui a un concierto de magneto en el palacio de los deportes,mslg-spa,test
ALGUIEN ÉL AYUDAR MÍ,algunas personas son voluntarias en la cruz roja,mslg-spa,train
me asusto con las arañas me dan miedo,YO ASUSTAR ARAÑAS YO MIEDO,spa-mslg,train
te confundo a ti y a tu mamá porque se parecen,YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS,spa-mslg,train
JUGUETE MI AHIJADO YO REGALAR ÉL YA,le regalé un juguete a mi ahijado,mslg-spa,train
MI PRIMO UNIVERSIDAD YA INGRESAR,mi primo ingresó a la universidad,mslg-spa,train
ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA,compraré ropa nueva yo estoy a la moda,mslg-spa,val
yo necesito pápel para absorber el agua,YO NECESITAR PAPEL PARA AGUA ABSORBER,spa-mslg,train
necesito dinero para poder pagarlo la diesel,YO NECESITAR DINERO PAGAR GASOLINA,spa-mslg,train
YO GUSTAR GALLETA DIFERENTE GAMESA,me gustan las galletas gamesa,mslg-spa,train
PERRO MUCHO SED,el perro tiene mucha sed,mslg-spa,train
SUÉTER BLANCO YO PERDER,yo perd el suéter blanco,mslg-spa,train
adolfo pérez mateos fue ex-presidente de méxico,ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO,spa-mslg,train
SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE,el cuando me acabo de baar siempre me pongo desodorante,mslg-spa,train
tomás el apóstol de jess,TOMÁS APÓSTOL JESÚS,spa-mslg,train
¿TÚ YA CONOCER ARGENTINA?,¿ tú ya conoces argentina ?,mslg-spa,train
¡ay qué sorpresa verte aquí,¡AY! SORPRESA AQUÍ YO VER TI,spa-mslg,test
el gato está encima de la mesa,PERRO DEBAJO MESA,spa-mslg,train
por favor apaga la luz,APAGAR LUZ POR-FAVOR,spa-mslg,train
MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER,en el mercado venden muchas escobas baratas,mslg-spa,train
BIBLIA DENTRO ADÁN NOMBRE HABER,en la biblia está el nombre de adán,mslg-spa,test
